name,nprn_number,range_min,range_max
lfo 1 freq,147,0,255
lfo 1 sync setting,148,0,15
lfo 1 sync,149,0,1
lfo 1 shape,150,0,7
lfo 1 amt,151,0,127
lfo 1 slew rate,152,0,127
lfo 1 phase,153,0,127
lfo 1 wave reset,154,0,1
lfo 1 destination,155,0,97
lfo 2 freq,157,0,255
lfo 2 sync setting,158,0,15
lfo 2 sync,159,0,1
lfo 2 shape,160,0,7
lfo 2 amt,161,0,127
lfo 2 slew rate,162,0,127
lfo 2 phase,163,0,127
lfo 2 wave reset,164,0,1
lfo 2 destination,165,0,97
lfo 3 freq,167,0,255
lfo 3 sync setting,168,0,15
lfo 3 sync,169,0,1
lfo 3 shape,170,0,7
lfo 3 amt,171,0,127
lfo 3 slew rate,172,0,127
lfo 3 phase,173,0,127
lfo 3 wave reset,174,0,1
lfo 3 destination,175,0,97
lfo 4 freq,177,0,255
lfo 4 sync setting,178,0,15
lfo 4 sync,179,0,1
lfo 4 shape,180,0,7
lfo 4 amt,181,0,127
lfo 4 slew rate,182,0,127
lfo 4 phase,183,0,127
lfo 4 wave reset,184,0,1
lfo 4 destination,185,0,97
