name,nprn_number,range_min,range_max
mod 1 source,219,0,26
mod 1 amt,220,0,254
mod 1 destination,221,0,97
mod 2 source,223,0,26
mod 2 amt,224,0,254
mod 2 destination,225,0,97
mod 3 source,227,0,26
mod 3 amt,228,0,254
mod 3 destination,229,0,97
mod 4 source,231,0,26
mod 4 amt,232,0,254
mod 4 destination,233,0,97
mod 5 source,235,0,26
mod 5 amt,236,0,254
mod 5 destination,237,0,97
mod 6 source,239,0,26
mod 6 amt,240,0,254
mod 6 destination,241,0,97
mod 7 source,243,0,26
mod 7 amt,244,0,254
mod 7 destination,245,0,97
mod 8 source,247,0,26
mod 8 amt,248,0,254
mod 8 destination,249,0,97
mod 9 source,251,0,26
mod 9 amt,252,0,254
mod 9 destination,253,0,97
mod 10 source,255,0,26
mod 10 amt,256,0,254
mod 10 destination,257,0,97
mod 11 source,259,0,26
mod 11 amt,260,0,254
mod 11 destination,261,0,97
mod 12 source,263,0,26
mod 12 amt,264,0,254
mod 12 destination,265,0,97
mod 13 source,267,0,26
mod 13 amt,268,0,254
mod 13 destination,269,0,97
mod 14 source,271,0,26
mod 14 amt,272,0,254
mod 14 destination,273,0,97
mod 15 source,275,0,26
mod 15 amt,276,0,254
mod 15 destination,277,0,97
mod 16 source,279,0,26
mod 16 amt,280,0,254
mod 16 destination,281,0,97
