name,nprn_number,range_min,range_max
osc 1 pitch,0,0,120
osc 1 fine tune,1,0,100
osc 1 level,2,0,127
osc 1 shape,3,0,19
osc 1 shape mod,4,0,127
osc 1 wave left,5,0,11
osc 1 wave right,6,0,11
osc 1 fm,7,0,255
osc 1 am,8,0,255
osc 1 slop,9,0,127
osc 1 glide amt,10,0,127
osc 1 sync,11,0,1
osc 1 key follow,12,0,1
osc 1 wave reset,13,0,1
osc 2 pitch,18,0,120
osc 2 fine tune,19,0,100
osc 2 level,20,0,127
osc 2 shape,21,0,19
osc 2 shape mod,22,0,127
osc 2 wave left,23,0,11
osc 2 wave right,24,0,11
osc 2 fm,25,0,255
osc 2 am,26,0,255
osc 2 slop,27,0,127
osc 2 glide amt,28,0,127
osc 2 sync,29,0,1
osc 2 key follow,30,0,1
osc 2 wave reset,31,0,1
osc 3 pitch,36,0,120
osc 3 fine tune,37,0,100
osc 3 level,38,0,127
osc 3 shape,39,0,19
osc 3 shape mod,40,0,127
osc 3 wave left,41,0,11
osc 3 wave right,42,0,11
osc 3 fm,43,0,255
osc 3 am,44,0,255
osc 3 slop,45,0,127
osc 3 glide amt,46,0,127
osc 3 sync,47,0,1
osc 3 key follow,48,0,1
osc 3 wave reset,49,0,1
osc 4 pitch,54,0,120
osc 4 fine tune,55,0,100
osc 4 level,56,0,127
osc 4 shape,57,0,19
osc 4 shape mod,58,0,127
osc 4 wave left,59,0,11
osc 4 wave right,60,0,11
osc 4 fm,61,0,255
osc 4 am,62,0,255
osc 4 slop,63,0,127
osc 4 glide amt,64,0,127
osc 4 sync,65,0,1
osc 4 key follow,66,0,1
osc 4 wave reset,67,0,1
osc 1 sub octave,72,0,127
glide mode,73,0,3
glide,74,0,1
pitchbend range up,75,0,12
pitchbend range down,76,0,24
